0	ot
1	sa
2	duwa
3	lhèë
4	peuët
5	limong
6	nam
7	tujôh
8	lapan
9	sikureuëng
10	si plôh
11	siblah
12	duwa blah
13	lhèë blah
14	peuët blah
15	limong blah
16	nam blah
17	tujôh blah
18	lapan blah
19	sikureuëng blah
20	duwa plôh
21	duwa plôh sa
22	duwa plôh duwa
23	duwa plôh lhèë
24	duwa plôh peuët
25	duwa plôh limong
26	duwa plôh nam
27	duwa plôh tujôh
28	duwa plôh lapan
29	duwa plôh sikureuëng
30	lhèë plôh
31	lhèë plôh sa
32	lhèë plôh duwa
33	lhèë plôh lhèë
34	lhèë plôh peuët
35	lhèë plôh limong
36	lhèë plôh nam
37	lhèë plôh tujôh
38	lhèë plôh lapan
39	lhèë plôh sikureuëng
40	peuët plôh
41	peuët plôh sa
42	peuët plôh duwa
43	peuët plôh lhèë
44	peuët plôh peuët
45	peuët plôh limong
46	peuët plôh nam
47	peuët plôh tujôh
48	peuët plôh lapan
49	peuët plôh sikureuëng
50	limong plôh
51	limong plôh sa
52	limong plôh duwa
53	limong plôh lhèë
54	limong plôh peuët
55	limong plôh limong
56	limong plôh nam
57	limong plôh tujôh
58	limong plôh lapan
59	limong plôh sikureuëng
60	nam plôh
61	nam plôh sa
62	nam plôh duwa
63	nam plôh lhèë
64	nam plôh peuët
65	nam plôh limong
66	nam plôh nam
67	nam plôh tujôh
68	nam plôh lapan
69	nam plôh sikureuëng
70	tujôh plôh
71	tujôh plôh sa
72	tujôh plôh duwa
73	tujôh plôh lhèë
74	tujôh plôh peuët
75	tujôh plôh limong
76	tujôh plôh nam
77	tujôh plôh tujôh
78	tujôh plôh lapan
79	tujôh plôh sikureuëng
80	lapan plôh
81	lapan plôh sa
82	lapan plôh duwa
83	lapan plôh lhèë
84	lapan plôh peuët
85	lapan plôh limong
86	lapan plôh nam
87	lapan plôh tujôh
88	lapan plôh lapan
89	lapan plôh sikureuëng
90	sikureuëng plôh
91	sikureuëng plôh sa
92	sikureuëng plôh duwa
93	sikureuëng plôh lhèë
94	sikureuëng plôh peuët
95	sikureuëng plôh limong
96	sikureuëng plôh nam
97	sikureuëng plôh tujôh
98	sikureuëng plôh lapan
99	sikureuëng plôh sikureuëng
100	si reutôh
1000	si ribèë
10000	si plôh ribèë
100000	si reutôh ribèë
1000000	si yuta
10000000	si plôh yuta
100000000	si reutôh yuta
1000000000	saboh miliar
10000000000	si plôh miliar
100000000000	si reutôh miliar
