0	ዜሮ
1	አንድ
2	ሁለት
3	ሦስት
4	አራት
5	አምስት
6	ስድስት
7	ሰባት
8	ስምንት
9	ዘጠኝ
10	ዐሥር
11	ዐሥራ አንድ
12	ዐሥራ ሁለት
13	ዐሥራ ሦስት
14	ዐሥራ አራት
15	ዐሥራ አምስት
16	ዐሥራ ስድስት
17	ዐሥራ ሰባት
18	ዐሥራ ስምንት
19	ዐሥራ ዘጠኝ
20	ሃያ
21	ሃያ አንድ
22	ሃያ ሁለት
23	ሃያ ሦስት
24	ሃያ አራት
25	ሃያ አምስት
26	ሃያ ስድስት
27	ሃያ ሰባት
28	ሃያ ስምንት
29	ሃያ ዘጠኝ
30	ሠላሳ
31	ሠላሳ አንድ
32	ሠላሳ ሁለት
33	ሠላሳ ሦስት
34	ሠላሳ አራት
35	ሠላሳ አምስት
36	ሠላሳ ስድስት
37	ሠላሳ ሰባት
38	ሠላሳ ስምንት
39	ሠላሳ ዘጠኝ
40	አርባ
41	አርባ አንድ
42	አርባ ሁለት
43	አርባ ሦስት
44	አርባ አራት
45	አርባ አምስት
46	አርባ ስድስት
47	አርባ ሰባት
48	አርባ ስምንት
49	አርባ ዘጠኝ
50	ሃምሳ
51	ሃምሳ አንድ
52	ሃምሳ ሁለት
53	ሃምሳ ሦስት
54	ሃምሳ አራት
55	ሃምሳ አምስት
56	ሃምሳ ስድስት
57	ሃምሳ ሰባት
58	ሃምሳ ስምንት
59	ሃምሳ ዘጠኝ
60	ስልሳ
61	ስልሳ አንድ
62	ስልሳ ሁለት
63	ስልሳ ሦስት
64	ስልሳ አራት
65	ስልሳ አምስት
66	ስልሳ ስድስት
67	ስልሳ ሰባት
68	ስልሳ ስምንት
69	ስልሳ ዘጠኝ
70	ሰባ
71	ሰባ አንድ
72	ሰባ ሁለት
73	ሰባ ሦስት
74	ሰባ አራት
75	ሰባ አምስት
76	ሰባ ስድስት
77	ሰባ ሰባት
78	ሰባ ስምንት
79	ሰባ ዘጠኝ
80	ሰማንያ
81	ሰማንያ አንድ
82	ሰማንያ ሁለት
83	ሰማንያ ሦስት
84	ሰማንያ አራት
85	ሰማንያ አምስት
86	ሰማንያ ስድስት
87	ሰማንያ ሰባት
88	ሰማንያ ስምንት
89	ሰማንያ ዘጠኝ
90	ዘጠና
91	ዘጠና አንድ
92	ዘጠና ሁለት
93	ዘጠና ሦስት
94	ዘጠና አራት
95	ዘጠና አምስት
96	ዘጠና ስድስት
97	ዘጠና ሰባት
98	ዘጠና ስምንት
99	ዘጠና ዘጠኝ
100	መቶ
1000	ሺ
10000	እልፍ
100000	ዐሥር እልፍ
1000000	መቶ እልፍ
10000000	ሺ እልፍ
