0	null
1	eins
2	zwei
3	drei
4	vier
5	fünf
6	sechs
7	sieben
8	acht
9	neun
10	zehn
11	elf
12	zwölf
13	dreizehn
14	vierzehn
15	fünfzehn
16	sechzehn
17	siebzehn
18	achtzehn
19	neunzehn
20	zwanzig
21	ein und zwanzig
22	zwei und zwanzig
23	drei und zwanzig
24	vier und zwanzig
25	fünf und zwanzig
26	sechs und zwanzig
27	sieben und zwanzig
28	acht und zwanzig
29	neun und zwanzig
30	dreißig
31	ein und dreißig
32	zwei und dreißig
33	drei und dreißig
34	vier und dreißig
35	fünf und dreißig
36	sechs und dreißig
37	sieben und dreißig
38	acht und dreißig
39	neun und dreißig
40	vierzig
41	ein und vierzig
42	zwei und vierzig
43	drei und vierzig
44	vier und vierzig
45	fünf und vierzig
46	sechs und vierzig
47	sieben und vierzig
48	acht und vierzig
49	neun und vierzig
50	fünfzig
51	ein und fünfzig
52	zwei und fünfzig
53	drei und fünfzig
54	vier und fünfzig
55	fünf und fünfzig
56	sechs und fünfzig
57	sieben und fünfzig
58	acht und fünfzig
59	neun und fünfzig
60	sechzig
61	ein und sechzig
62	zwei und sechzig
63	drei und sechzig
64	vier und sechzig
65	fünf und sechzig
66	sechs und sechzig
67	sieben und sechzig
68	acht und sechzig
69	neun und sechzig
70	siebzig
71	ein und siebzig
72	zwei und siebzig
73	drei und siebzig
74	vier und siebzig
75	fünf und siebzig
76	sechs und siebzig
77	sieben und siebzig
78	acht und siebzig
79	neun und siebzig
80	achtzig
81	ein und achtzig
82	zwei und achtzig
83	drei und achtzig
84	vier und achtzig
85	fünf und achtzig
86	sechs und achtzig
87	sieben und achtzig
88	acht und achtzig
89	neun und achtzig
90	neunzig
91	ein und neunzig
92	zwei und neunzig
93	drei und neunzig
94	vier und neunzig
95	fünf und neunzig
96	sechs und neunzig
97	sieben und neunzig
98	acht und neunzig
99	neun und neunzig
100	ein hundert
1000	ein tausend
10000	zehn tausend
100000	ein hundert tausend
1000000	eine million
10000000	zehn millionen
100000000	ein hundert millionen
1000000000	eine milliarde
10000000000	zehn milliarden
100000000000	ein hundert milliarden
