0	ნული
1	ერთი
2	ორი
3	სამი
4	ოთხი
5	ხუთი
6	ექვსი
7	შვიდი
8	რვა
9	ცხრა
10	ათი
11	თერთმეტი
12	თორმეტი
13	ცამეტი
14	თოთხმეტი
15	თხუთმეტი
16	თექვსმეტი
17	ჩვიდმეტი
18	თვრამეტი
19	ცხრამეტი
20	ოცი
21	ოც და ერთი
22	ოც და ორი
23	ოც და სამი
24	ოც და ოთხი
25	ოც და ხუთი
26	ოც და ექვსი
27	ოც და შვიდი
28	ოც და რვა
29	ოც და ცხრა
30	ოც და ათი
31	ოც და თერთმეტი
32	ოც და თორმეტი
33	ოც და ცამეტი
34	ოც და თოთხმეტი
35	ოც და თხუთმეტი
36	ოც და თექვსმეტი
37	ოც და ჩვიდმეტი
38	ოც და თვრამეტი
39	ოც და ცხრამეტი
40	ორმოცი
41	ორმოც და ერთი
42	ორმოც და ორი
43	ორმოც და სამი
44	ორმოც და ოთხი
45	ორმოც და ხუთი
46	ორმოც და ექვსი
47	ორმოც და შვიდი
48	ორმოც და რვა
49	ორმოც და ცხრა
50	ორმოც და ათი
51	ორმოც და თერთმეტი
52	ორმოც და თორმეტი
53	ორმოც და ცამეტი
54	ორმოც და თოთხმეტი
55	ორმოც და თხუთმეტი
56	ორმოც და თექვსმეტი
57	ორმოც და ჩვიდმეტი
58	ორმოც და თვრამეტი
59	ორმოც და ცხრამეტი
60	სამოცი
61	სამოც და ერთი
62	სამოც და ორი
63	სამოც და სამი
64	სამოც და ოთხი
65	სამოც და ხუთი
66	სამოც და ექვსი
67	სამოც და შვიდი
68	სამოც და რვა
69	სამოც და ცხრა
70	სამოც და ათი
71	სამოც და თერთმეტი
72	სამოც და თორმეტი
73	სამოც და ცამეტი
74	სამოც და თოთხმეტი
75	სამოც და თხუთმეტი
76	სამოც და თექვსმეტი
77	სამოც და ჩვიდმეტი
78	სამოც და თვრამეტი
79	სამოც და ცხრამეტი
80	ოთხმოცი
81	ოთხმოც და ერთი
82	ოთხმოც და ორი
83	ოთხმოც და სამი
84	ოთხმოც და ოთხი
85	ოთხმოც და ხუთი
86	ოთხმოც და ექვსი
87	ოთხმოც და შვიდი
88	ოთხმოც და რვა
89	ოთხმოც და ცხრა
90	ოთხმოც და ათი
91	ოთხმოც და თერთმეტი
92	ოთხმოც და თორმეტი
93	ოთხმოც და ცამეტი
94	ოთხმოც და თოთხმეტი
95	ოთხმოც და თხუთმეტი
96	ოთხმოც და თექვსმეტი
97	ოთხმოც და ჩვიდმეტი
98	ოთხმოც და თვრამეტი
99	ოთხმოც და ცხრამეტი
100	ასი
1000	ათასი
10000	ათი ათასი
100000	ასი ათასი
1000000	მილიონი
10000000	ათი მილიონი
100000000	ასი მილიონი
1000000000	მილიარდი
10000000000	ათი მილიარდი
100000000000	ასი მილიარდი
