0	нөл
1	бір
2	екі
3	үш
4	төрт
5	бес
6	алты
7	жеті
8	сегіз
9	тоғыз
10	он
11	он бір
12	он екі
13	он үш
14	он төрт
15	он бес
16	он алты
17	он жеті
18	он сегіз
19	он тоғыз
20	жиырма
21	жиырма бір
22	жиырма екі
23	жиырма үш
24	жиырма төрт
25	жиырма бес
26	жиырма алты
27	жиырма жеті
28	жиырма сегіз
29	жиырма тоғыз
30	отыз
31	отыз бір
32	отыз екі
33	отыз үш
34	отыз төрт
35	отыз бес
36	отыз алты
37	отыз жеті
38	отыз сегіз
39	отыз тоғыз
40	қырық
41	қырық бір
42	қырық екі
43	қырық үш
44	қырық төрт
45	қырық бес
46	қырық алты
47	қырық жеті
48	қырық сегіз
49	қырық тоғыз
50	елу
51	елу бір
52	елу екі
53	елу үш
54	елу төрт
55	елу бес
56	елу алты
57	елу жеті
58	елу сегіз
59	елу тоғыз
60	алпыс
61	алпыс бір
62	алпыс екі
63	алпыс үш
64	алпыс төрт
65	алпыс бес
66	алпыс алты
67	алпыс жеті
68	алпыс сегіз
69	алпыс тоғыз
70	жетпіс
71	жетпіс бір
72	жетпіс екі
73	жетпіс үш
74	жетпіс төрт
75	жетпіс бес
76	жетпіс алты
77	жетпіс жеті
78	жетпіс сегіз
79	жетпіс тоғыз
80	сексен
81	сексен бір
82	сексен екі
83	сексен үш
84	сексен төрт
85	сексен бес
86	сексен алты
87	сексен жеті
88	сексен сегіз
89	сексен тоғыз
90	тоқсан
91	тоқсан бір
92	тоқсан екі
93	тоқсан үш
94	тоқсан төрт
95	тоқсан бес
96	тоқсан алты
97	тоқсан жеті
98	тоқсан сегіз
99	тоқсан тоғыз
100	бір жүз
1000	бір мың
10000	он мың
100000	бір жүз мың
1000000	бір миллион
10000000	он миллион
100000000	бір жүз миллион
1000000000	бір миллиард
10000000000	он миллиард
100000000000	бір жүз миллиард
