0	ch'usaq
1	huk
2	iskay
3	kimsa
4	tawa
5	pichqa
6	suqta
7	qanchis
8	pusaq
9	isqun
10	chunka
11	chunka huk
12	chunka iskay
13	chunka kimsa
14	chunka tawa
15	chunka pichqa
16	chunka suqta
17	chunka qanchis
18	chunka pusaq
19	chunka isqun
20	iskay chunka
21	iskay chunka huk
22	iskay chunka iskay
23	iskay chunka kimsa
24	iskay chunka tawa
25	iskay chunka pichqa
26	iskay chunka suqta
27	iskay chunka qanchis
28	iskay chunka pusaq
29	iskay chunka isqun
30	kimsa chunka
31	kimsa chunka huk
32	kimsa chunka iskay
33	kimsa chunka kimsa
34	kimsa chunka tawa
35	kimsa chunka pichqa
36	kimsa chunka suqta
37	kimsa chunka qanchis
38	kimsa chunka pusaq
39	kimsa chunka isqun
40	tawa chunka
41	tawa chunka huk
42	tawa chunka iskay
43	tawa chunka kimsa
44	tawa chunka tawa
45	tawa chunka pichqa
46	tawa chunka suqta
47	tawa chunka qanchis
48	tawa chunka pusaq
49	tawa chunka isqun
50	pichqa chunka
51	pichqa chunka huk
52	pichqa chunka iskay
53	pichqa chunka kimsa
54	pichqa chunka tawa
55	pichqa chunka pichqa
56	pichqa chunka suqta
57	pichqa chunka qanchis
58	pichqa chunka pusaq
59	pichqa chunka isqun
60	suqta chunka
61	suqta chunka huk
62	suqta chunka iskay
63	suqta chunka kimsa
64	suqta chunka tawa
65	suqta chunka pichqa
66	suqta chunka suqta
67	suqta chunka qanchis
68	suqta chunka pusaq
69	suqta chunka isqun
70	qanchis chunka
71	qanchis chunka huk
72	qanchis chunka iskay
73	qanchis chunka kimsa
74	qanchis chunka tawa
75	qanchis chunka pichqa
76	qanchis chunka suqta
77	qanchis chunka qanchis
78	qanchis chunka pusaq
79	qanchis chunka isqun
80	pusaq chunka
81	pusaq chunka huk
82	pusaq chunka iskay
83	pusaq chunka kimsa
84	pusaq chunka tawa
85	pusaq chunka pichqa
86	pusaq chunka suqta
87	pusaq chunka qanchis
88	pusaq chunka pusaq
89	pusaq chunka isqun
90	isqun chunka
91	isqun chunka huk
92	isqun chunka iskay
93	isqun chunka kimsa
94	isqun chunka tawa
95	isqun chunka pichqa
96	isqun chunka suqta
97	isqun chunka qanchis
98	isqun chunka pusaq
99	isqun chunka isqun
100	pachak
1000	waranqa
10000	chunka waranqa
100000	pachak waranqa
1000000	hunuy
10000000	chunka hunuy
100000000	pachak hunuy
1000000000	lluna
10000000000	chunka lluna
100000000000	pachak lluna
