0	nula
1	jeden
2	dva
3	tri
4	štyri
5	päť
6	šesť
7	sedem
8	osem
9	deväť
10	desať
11	jedenásť
12	dvanásť
13	trinásť
14	štrnásť
15	pätnásť
16	šestnásť
17	sedemnásť
18	osemnásť
19	devätnásť
20	dvadsať
21	dvadsať jeden
22	dvadsať dva
23	dvadsať tri
24	dvadsať štyri
25	dvadsať päť
26	dvadsať šesť
27	dvadsať sedem
28	dvadsať osem
29	dvadsať deväť
30	tridsať
31	tridsať jeden
32	tridsať dva
33	tridsať tri
34	tridsať štyri
35	tridsať päť
36	tridsať šesť
37	tridsať sedem
38	tridsať osem
39	tridsať deväť
40	štyridsať
41	štyridsať jeden
42	štyridsať dva
43	štyridsať tri
44	štyridsať štyri
45	štyridsať päť
46	štyridsať šesť
47	štyridsať sedem
48	štyridsať osem
49	štyridsať deväť
50	päťdesiat
51	päťdesiat jeden
52	päťdesiat dva
53	päťdesiat tri
54	päťdesiat štyri
55	päťdesiat päť
56	päťdesiat šesť
57	päťdesiat sedem
58	päťdesiat osem
59	päťdesiat deväť
60	šesťdesiat
61	šesťdesiat jeden
62	šesťdesiat dva
63	šesťdesiat tri
64	šesťdesiat štyri
65	šesťdesiat päť
66	šesťdesiat šesť
67	šesťdesiat sedem
68	šesťdesiat osem
69	šesťdesiat deväť
70	sedemdesiat
71	sedemdesiat jeden
72	sedemdesiat dva
73	sedemdesiat tri
74	sedemdesiat štyri
75	sedemdesiat päť
76	sedemdesiat šesť
77	sedemdesiat sedem
78	sedemdesiat osem
79	sedemdesiat deväť
80	osemdesiat
81	osemdesiat jeden
82	osemdesiat dva
83	osemdesiat tri
84	osemdesiat štyri
85	osemdesiat päť
86	osemdesiat šesť
87	osemdesiat sedem
88	osemdesiat osem
89	osemdesiat deväť
90	deväťdesiat
91	deväťdesiat jeden
92	deväťdesiat dva
93	deväťdesiat tri
94	deväťdesiat štyri
95	deväťdesiat päť
96	deväťdesiat šesť
97	deväťdesiat sedem
98	deväťdesiat osem
99	deväťdesiat deväť
100	sto
1000	tisíc
10000	desať tisíc
100000	sto tisíc
1000000	jeden milión
10000000	desať miliónov
100000000	sto miliónov
1000000000	jedna miliarda
10000000000	desať miliárd
100000000000	sto miliárd
