0	ноль
1	бер
2	ике
3	өч
4	дүрт
5	биш
6	алты
7	җиде
8	сигез
9	тугыз
10	ун
11	ун бер
12	ун ике
13	ун өч
14	ун дүрт
15	ун биш
16	ун алты
17	ун җиде
18	ун сигез
19	ун тугыз
20	егерме
21	егерме бер
22	егерме ике
23	егерме өч
24	егерме дүрт
25	егерме биш
26	егерме алты
27	егерме җиде
28	егерме сигез
29	егерме тугыз
30	утыз
31	утыз бер
32	утыз ике
33	утыз өч
34	утыз дүрт
35	утыз биш
36	утыз алты
37	утыз җиде
38	утыз сигез
39	утыз тугыз
40	кырык
41	кырык бер
42	кырык ике
43	кырык өч
44	кырык дүрт
45	кырык биш
46	кырык алты
47	кырык җиде
48	кырык сигез
49	кырык тугыз
50	илле
51	илле бер
52	илле ике
53	илле өч
54	илле дүрт
55	илле биш
56	илле алты
57	илле җиде
58	илле сигез
59	илле тугыз
60	алтмыш
61	алтмыш бер
62	алтмыш ике
63	алтмыш өч
64	алтмыш дүрт
65	алтмыш биш
66	алтмыш алты
67	алтмыш җиде
68	алтмыш сигез
69	алтмыш тугыз
70	җитмеш
71	җитмеш бер
72	җитмеш ике
73	җитмеш өч
74	җитмеш дүрт
75	җитмеш биш
76	җитмеш алты
77	җитмеш җиде
78	җитмеш сигез
79	җитмеш тугыз
80	сиксән
81	сиксән бер
82	сиксән ике
83	сиксән өч
84	сиксән дүрт
85	сиксән биш
86	сиксән алты
87	сиксән җиде
88	сиксән сигез
89	сиксән тугыз
90	туксан
91	туксан бер
92	туксан ике
93	туксан өч
94	туксан дүрт
95	туксан биш
96	туксан алты
97	туксан җиде
98	туксан сигез
99	туксан тугыз
100	йөз
1000	бер мең
10000	ун мең
100000	йөз мең
1000000	бер миллион
10000000	ун миллион
100000000	йөз миллион
1000000000	бер миллиард
10000000000	ун миллиард
100000000000	йөз миллиард
