0	nol
1	bir
2	iki
3	üç
4	dört
5	bäş
6	alty
7	ýedi
8	sekiz
9	dokuz
10	on
11	on bir
12	on iki
13	on üç
14	on dört
15	on bäş
16	on alty
17	on ýedi
18	on sekiz
19	on dokuz
20	ýigrim
21	ýigrim bir
22	ýigrim iki
23	ýigrim üç
24	ýigrim dört
25	ýigrim bäş
26	ýigrim alty
27	ýigrim ýedi
28	ýigrim sekiz
29	ýigrim dokuz
30	otuz
31	otuz bir
32	otuz iki
33	otuz üç
34	otuz dört
35	otuz bäş
36	otuz alty
37	otuz ýedi
38	otuz sekiz
39	otuz dokuz
40	kyrk
41	kyrk bir
42	kyrk iki
43	kyrk üç
44	kyrk dört
45	kyrk bäş
46	kyrk alty
47	kyrk ýedi
48	kyrk sekiz
49	kyrk dokuz
50	elli
51	elli bir
52	elli iki
53	elli üç
54	elli dört
55	elli bäş
56	elli alty
57	elli ýedi
58	elli sekiz
59	elli dokuz
60	altmyş
61	altmyş bir
62	altmyş iki
63	altmyş üç
64	altmyş dört
65	altmyş bäş
66	altmyş alty
67	altmyş ýedi
68	altmyş sekiz
69	altmyş dokuz
70	ýetmiş
71	ýetmiş bir
72	ýetmiş iki
73	ýetmiş üç
74	ýetmiş dört
75	ýetmiş bäş
76	ýetmiş alty
77	ýetmiş ýedi
78	ýetmiş sekiz
79	ýetmiş dokuz
80	segsen
81	segsen bir
82	segsen iki
83	segsen üç
84	segsen dört
85	segsen bäş
86	segsen alty
87	segsen ýedi
88	segsen sekiz
89	segsen dokuz
90	togsan
91	togsan bir
92	togsan iki
93	togsan üç
94	togsan dört
95	togsan bäş
96	togsan alty
97	togsan ýedi
98	togsan sekiz
99	togsan dokuz
100	bir ýüz
1000	bir müň
10000	on müň
100000	bir ýüz müň
1000000	bir milýon
10000000	on milýon
100000000	bir ýüz milýon
1000000000	bir milýard
10000000000	on milýard
100000000000	bir ýüz milýard
