0	נוּל
1	אײן
2	צװײ
3	דרײַ
4	פֿיר
5	פֿינף
6	זעקס
7	זיבן
8	אַכט
9	נײַן
10	צען
11	עלף
12	צװעלף
13	דרײַצן
14	פֿערצן
15	פֿוּפֿצן
16	זעכצטן
17	זיבעצן
18	אַכצן
19	נײַנצן
20	צװאַנציק
21	אײן אוּן צװאַנציק
22	צװײ אוּן צװאַנציק
23	דרײַ אוּן צװאַנציק
24	פֿיר אוּן צװאַנציק
25	פֿינף אוּן צװאַנציק
26	זעקס אוּן צװאַנציק
27	זיבן אוּן צװאַנציק
28	אַכט אוּן צװאַנציק
29	נײַן אוּן צװאַנציק
30	דרײַסיק
31	אײן אוּן דרײַסיק
32	צװײ אוּן דרײַסיק
33	דרײַ אוּן דרײַסיק
34	פֿיר אוּן דרײַסיק
35	פֿינף אוּן דרײַסיק
36	זעקס אוּן דרײַסיק
37	זיבן אוּן דרײַסיק
38	אַכט אוּן דרײַסיק
39	נײַן אוּן דרײַסיק
40	פֿערציק
41	אײן אוּן פֿערציק
42	צװײ אוּן פֿערציק
43	דרײַ אוּן פֿערציק
44	פֿיר אוּן פֿערציק
45	פֿינף אוּן פֿערציק
46	זעקס אוּן פֿערציק
47	זיבן אוּן פֿערציק
48	אַכט אוּן פֿערציק
49	נײַן אוּן פֿערציק
50	פֿוּפֿציק
51	אײן אוּן פֿוּפֿציק
52	צװײ אוּן פֿוּפֿציק
53	דרײַ אוּן פֿוּפֿציק
54	פֿיר אוּן פֿוּפֿציק
55	פֿינף אוּן פֿוּפֿציק
56	זעקס אוּן פֿוּפֿציק
57	זיבן אוּן פֿוּפֿציק
58	אַכט אוּן פֿוּפֿציק
59	נײַן אוּן פֿוּפֿציק
60	זעכציק
61	אײן אוּן זעכציק
62	צװײ אוּן זעכציק
63	דרײַ אוּן זעכציק
64	פֿיר אוּן זעכציק
65	פֿינף אוּן זעכציק
66	זעקס אוּן זעכציק
67	זיבן אוּן זעכציק
68	אַכט אוּן זעכציק
69	נײַן אוּן זעכציק
70	זיבעציק
71	אײן אוּן זיבעציק
72	צװײ אוּן זיבעציק
73	דרײַ אוּן זיבעציק
74	פֿיר אוּן זיבעציק
75	פֿינף אוּן זיבעציק
76	זעקס אוּן זיבעציק
77	זיבן אוּן זיבעציק
78	אַכט אוּן זיבעציק
79	נײַן אוּן זיבעציק
80	אַכציק
81	אײן אוּן אַכציק
82	צװײ אוּן אַכציק
83	דרײַ אוּן אַכציק
84	פֿיר אוּן אַכציק
85	פֿינף אוּן אַכציק
86	זעקס אוּן אַכציק
87	זיבן אוּן אַכציק
88	אַכט אוּן אַכציק
89	נײַן אוּן אַכציק
90	נײַנציק
91	אײן אוּן נײַנציק
92	צװײ אוּן נײַנציק
93	דרײַ אוּן נײַנציק
94	פֿיר אוּן נײַנציק
95	פֿינף אוּן נײַנציק
96	זעקס אוּן נײַנציק
97	זיבן אוּן נײַנציק
98	אַכט אוּן נײַנציק
99	נײַן אוּן נײַנציק
100	הוּנדערט
1000	טױזנט
10000	צען טױזנט
100000	הוּנדערט טױזנט
1000000	אײן מיליאָן
10000000	צען מיליאָן
100000000	הוּנדערט מיליאָן
1000000000	אײן ביליאָן
10000000000	צען ביליאָן
100000000000	הוּנדערט ביליאָן
